CHROM	START	END	SNPS	S1.S4	S1.S7	S1.S10	S1.S2	S1.S5	S1.S8	S1.S11	S1.S3	S1.S6	S1.S9	S1.S12	S4.S7	S4.S10	S4.S2	S4.S5	S4.S8	S4.S11	S4.S3	S4.S6	S4.S9	S4.S12	S7.S10	S7.S2	S7.S5	S7.S8	S7.S11	S7.S3	S7.S6	S7.S9	S7.S12	S10.S2	S10.S5	S10.S8	S10.S11	S10.S3	S10.S6	S10.S9	S10.S12	S2.S5	S2.S8	S2.S11	S2.S3	S2.S6	S2.S9	S2.S12	S5.S8	S5.S11	S5.S3	S5.S6	S5.S9	S5.S12	S8.S11	S8.S3	S8.S6	S8.S9	S8.S12	S11.S3	S11.S6	S11.S9	S11.S12	S3.S6	S3.S9	S3.S12	S6.S9	S6.S12	S9.S12
5	3165030	3165030	1	0.0468085	0.0297872	0.0387985	0.0212766	0.0212766	0.0324748	0.0231267	0.0297872	0.0212766	0.035461	0.0516717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165032	3165032	1	NA	NA	NA	NA	NA	0.145833	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0431001	NA	NA	NA	NA	NA	NA	NA	NA	0.0388278	NA	NA	NA	NA	NA	NA	NA	0.075188	NA	NA	NA	NA	NA	NA	0.0379572	NA	NA	NA	NA	NA	0.0299107	NA	NA	NA	NA	NA	0.0433333	0.0334748	0.0286905	0.0285714	0.0501108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165036	3165036	1	NA	NA	NA	NA	0.141637	NA	NA	0.13891	NA	NA	NA	NA	NA	NA	0.0528034	NA	NA	0.0452479	NA	NA	NA	NA	NA	0.0387055	NA	NA	0.0310375	NA	NA	NA	NA	0.0872404	NA	NA	0.0799595	NA	NA	NA	0.0293947	NA	NA	0.0301598	NA	NA	NA	0.035461	0.0366432	0.0060295	0.0212766	0.035461	0.061134	NA	0.031339	NA	NA	NA	0.0355795	NA	NA	NA	0.025641	0.031339	0.0536448	NA	NA	NA
5	3165038	3165038	1	NA	0.134115	NA	NA	NA	NA	0.128788	NA	NA	NA	NA	0.0384615	NA	NA	NA	NA	0.0416667	NA	NA	NA	NA	0.0748355	0.025641	0.025641	0.031339	0.00591944	0.025641	0.025641	0.031339	0.047619	NA	NA	NA	0.0735768	NA	NA	NA	NA	NA	NA	0.0222222	NA	NA	NA	NA	NA	0.0222222	NA	NA	NA	NA	0.0345679	NA	NA	NA	NA	0.0288889	0.0222222	0.0345679	0.0507937	NA	NA	NA	NA	NA	NA
5	3165042	3165042	1	NA	NA	NA	0.136499	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0448113	NA	NA	NA	NA	NA	NA	NA	NA	0.0356302	NA	NA	NA	NA	NA	NA	NA	0.078176	NA	NA	NA	NA	NA	NA	NA	0.0218868	0.0448113	0.0308768	0.0296496	0.0188679	0.0410655	0.0595065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165043	3165043	1	NA	NA	NA	NA	NA	NA	NA	0.137805	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0421551	NA	NA	NA	NA	NA	NA	NA	NA	0.0378787	NA	NA	NA	NA	NA	NA	NA	0.0714087	NA	NA	NA	NA	NA	NA	0.0289148	NA	NA	NA	NA	NA	0.0243902	NA	NA	NA	NA	0.0325203	NA	NA	NA	0.0343415	NA	NA	NA	0.0243902	0.0396341	0.0547989	NA	NA	NA
5	3165044	3165044	1	NA	NA	NA	NA	NA	NA	NA	NA	0.146283	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0519763	NA	NA	NA	NA	NA	NA	NA	NA	0.0514635	NA	NA	NA	NA	NA	NA	NA	0.08452	NA	NA	NA	NA	NA	NA	0.0319887	NA	NA	NA	NA	NA	0.0268957	NA	NA	NA	NA	0.0414594	NA	NA	NA	0.043837	NA	NA	0.0381655	NA	NA	0.0447761	0.0625981	NA
5	3165048	3165048	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15125	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.042125	NA	NA	NA	NA	NA	NA	NA	NA	0.0449231	NA	NA	NA	NA	NA	NA	NA	0.0810526	NA	NA	NA	NA	NA	NA	0.044058	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	0.04	NA	NA	NA	0.0494	NA	NA	0.04	NA	0.04	0.04
5	3165054	3165054	1	0.137872	NA	NA	NA	NA	NA	NA	NA	0.144666	NA	NA	0.0328634	0.0665682	0.0289905	0.027027	0.027027	0.0344167	0.027027	0.014776	0.03003	0.0519751	NA	NA	NA	NA	NA	NA	0.0514635	NA	NA	NA	NA	NA	NA	NA	0.0796762	NA	NA	NA	NA	NA	NA	0.0319887	NA	NA	NA	NA	NA	0.0238923	NA	NA	NA	NA	0.0358209	NA	NA	NA	0.04036	NA	NA	0.0405701	NA	NA	0.0414594	0.0681448	NA
5	3165057	3165057	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15125	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.042125	NA	NA	NA	NA	NA	NA	NA	NA	0.0449231	NA	NA	NA	NA	NA	NA	NA	0.0810526	NA	NA	NA	NA	NA	NA	0.044058	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	0.04	NA	NA	NA	0.0494	NA	NA	0.04	NA	0.04	0.04
5	3165059	3165059	1	NA	NA	NA	NA	0.14712	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0464045	NA	NA	NA	NA	NA	NA	NA	NA	0.0378709	NA	NA	NA	NA	NA	NA	NA	0.0721633	NA	NA	NA	NA	NA	NA	0.0277398	NA	NA	NA	NA	NA	NA	0.0247229	0.033173	0.0376046	0.0196078	0.037037	0.0570887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165066	3165066	1	0.142507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.035085	0.0715867	0.0342109	0.0322581	0.0322581	0.039608	0.0322581	0.0322581	0.0365591	0.0414747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165068	3165068	1	NA	NA	NA	NA	0.141637	NA	NA	NA	0.14841	NA	NA	NA	NA	NA	0.0528034	NA	NA	NA	0.0602772	NA	NA	NA	NA	0.0321062	NA	NA	NA	0.0397433	NA	NA	NA	0.0687206	NA	NA	NA	0.0760688	NA	NA	0.0293947	NA	NA	NA	0.0370532	NA	NA	0.0231267	0.0348187	0.0309291	0.0072935	0.0516717	0.0676539	NA	NA	0.0296156	NA	NA	NA	0.0392318	NA	NA	0.0385755	NA	NA	0.057971	0.0750105	NA
5	3165073	3165073	1	NA	NA	NA	NA	0.14304	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0430934	NA	NA	NA	NA	NA	NA	NA	NA	0.0336877	NA	NA	NA	NA	NA	NA	NA	0.0684814	NA	NA	NA	NA	NA	NA	0.0292954	NA	NA	NA	NA	NA	NA	0.0247229	0.033173	0.0349312	0.0196078	0.0403691	0.0353292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165075	3165075	1	0.0369357	0.0232558	0.0384417	0.0232558	0.0232558	0.0232558	0.0232558	0.0305998	0.0232558	0.0369357	0.027907	NA	0.0387985	NA	NA	NA	NA	NA	NA	NA	NA	0.0251451	NA	NA	NA	NA	NA	NA	NA	NA	0.0212766	0.0212766	0.0231267	0.0212766	0.0324748	0.0212766	0.0387985	0.0297872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165079	3165079	1	NA	NA	NA	NA	NA	NA	0.137409	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.039548	NA	NA	NA	NA	NA	NA	NA	NA	0.0292758	NA	NA	NA	NA	NA	NA	NA	0.0562362	NA	NA	NA	NA	NA	NA	0.0237288	NA	NA	NA	NA	NA	0.0221643	NA	NA	NA	NA	0.0292758	NA	NA	NA	NA	0.0338983	0.0169492	0.0466102	0.031477	NA	NA	NA	NA	NA	NA
5	3165081	3165081	1	0.031339	0.025641	0.025641	0.025641	0.025641	0.025641	0.0508796	0.025641	0.025641	0.0384615	0.025641	NA	NA	NA	NA	NA	0.0400729	NA	NA	NA	NA	NA	NA	NA	NA	0.0320062	NA	NA	NA	NA	NA	NA	NA	0.056752	NA	NA	NA	NA	NA	NA	0.0242623	NA	NA	NA	NA	NA	0.0226986	NA	NA	NA	NA	0.0298063	NA	NA	NA	NA	0.0320062	0.0163934	0.0471311	0.0320062	NA	NA	NA	NA	NA	NA
5	3165082	3165082	1	NA	NA	NA	0.141696	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0396158	NA	NA	NA	NA	NA	NA	NA	NA	0.0290622	NA	NA	NA	NA	NA	NA	NA	0.0599529	NA	NA	NA	NA	NA	NA	NA	0.0204082	0.0281827	0.0258824	0.0281827	0.0204082	0.0433673	0.0306122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165084	3165084	1	NA	NA	NA	NA	0.1501	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0408274	NA	NA	NA	NA	NA	NA	NA	NA	0.034389	NA	NA	NA	NA	NA	NA	NA	0.0646606	NA	NA	NA	NA	NA	NA	0.0299998	NA	NA	NA	NA	NA	NA	0.0296496	0.0324433	0.0310174	0.0188679	0.0448113	0.0336133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165085	3165085	1	NA	NA	NA	NA	NA	0.14563	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0357823	NA	NA	NA	NA	NA	NA	NA	NA	0.0359284	NA	NA	NA	NA	NA	NA	NA	0.0723982	NA	NA	NA	NA	NA	NA	0.0350551	NA	NA	NA	NA	NA	0.0269844	NA	NA	NA	NA	NA	0.0404475	0.0305592	0.0257604	0.0384615	0.0309589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165091	3165091	1	NA	NA	NA	0.132666	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0297872	NA	NA	NA	NA	NA	NA	NA	NA	0.0240108	NA	NA	NA	NA	NA	NA	NA	0.0591529	NA	NA	NA	NA	NA	NA	NA	0.0212766	0.0273556	0.0267459	0.0251451	0.0212766	0.035461	0.035461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165092	3165092	1	NA	NA	NA	0.133788	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.029525	NA	NA	NA	NA	NA	NA	NA	NA	0.0252731	NA	NA	NA	NA	NA	NA	NA	0.062146	NA	NA	NA	NA	NA	NA	NA	0.0243902	0.0268293	0.0298422	0.0268293	0.0243902	0.035868	0.0325203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165096	3165096	1	0.035461	0.0231267	0.0212766	0.0603682	0.0212766	0.0251451	0.0212766	0.0273556	0.0212766	0.0387985	0.0425532	NA	NA	0.0335917	NA	NA	NA	NA	NA	NA	NA	NA	0.0241397	NA	NA	NA	NA	NA	NA	NA	0.0610555	NA	NA	NA	NA	NA	NA	NA	0.0232558	0.0232558	0.0287141	0.0254707	0.0232558	0.0369357	0.0406977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165099	3165099	1	NA	NA	NA	NA	NA	NA	0.128806	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0371009	NA	NA	NA	NA	NA	NA	NA	NA	0.0242623	NA	NA	NA	NA	NA	NA	NA	0.0502016	NA	NA	NA	NA	NA	NA	0.0277976	NA	NA	NA	NA	NA	0.0226986	NA	NA	NA	NA	0.0298063	NA	NA	NA	NA	0.0320062	0.0163934	0.0433944	0.0471311	NA	NA	NA	NA	NA	NA
5	3165108	3165108	1	NA	NA	0.0952716	NA	NA	NA	NA	NA	0.138876	0.141544	NA	NA	0.0288889	NA	NA	NA	NA	NA	0.0365382	0.0311714	NA	0.0241975	NA	NA	NA	NA	NA	0.0347118	0.0340014	NA	0.025641	0.0183333	0.025641	0.0204444	0.0193548	0.0239628	0.0394041	0.04	NA	NA	NA	NA	0.0352667	0.0331264	NA	NA	NA	NA	0.0199017	0.0250395	NA	NA	NA	0.025974	0.0236935	NA	NA	0.0355413	0.0385296	NA	0.0245186	0.0286215	NA	0.0102519	0.0454489	0.0383137
5	3165109	3165109	1	0.0237288	0.0207156	0.0169492	0.0221643	0.0169492	0.0221643	0.0169492	0.0169492	0.0169492	0.031477	0.0365745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165114	3165114	1	NA	NA	NA	NA	0.136215	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0324141	NA	NA	NA	NA	NA	NA	NA	NA	0.0300952	NA	NA	NA	NA	NA	NA	NA	0.0587407	NA	NA	NA	NA	NA	NA	0.0329361	NA	NA	NA	NA	NA	NA	0.0248476	0.0307254	0.0207369	0.0126582	0.0278481	0.0318192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165117	3165117	1	NA	NA	NA	NA	NA	NA	0.124668	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0287625	NA	NA	NA	NA	NA	NA	NA	NA	0.0173697	NA	NA	NA	NA	NA	NA	NA	0.0481699	NA	NA	NA	NA	NA	NA	0.0269231	NA	NA	NA	NA	NA	0.0153846	NA	NA	NA	NA	0.0380567	NA	NA	NA	NA	0.0153846	0.0153846	0.0287625	0.0287625	NA	NA	NA	NA	NA	NA
5	3165118	3165118	1	0.13453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.026109	0.0629503	0.0252269	0.0232558	0.0305998	0.0306741	0.0232558	0.0232558	0.0232558	0.0232558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165120	3165120	1	0.030303	0.0181818	0.0181818	0.0181818	0.0181818	0.0280992	0.0181818	0.0181818	0.0181818	0.0801601	0.0225455	NA	NA	NA	NA	NA	NA	NA	NA	0.0353654	NA	NA	NA	NA	NA	NA	NA	NA	0.0340014	NA	NA	NA	NA	NA	NA	NA	0.0705442	NA	NA	NA	NA	NA	NA	0.0331264	NA	NA	NA	NA	NA	0.0250395	NA	NA	NA	NA	0.0257107	NA	NA	NA	0.0385296	NA	NA	0.0286215	NA	0.0238132	NA	0.0290221
5	3165123	3165123	1	NA	NA	0.095148	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0298354	NA	NA	NA	NA	NA	NA	NA	NA	0.0192901	NA	NA	NA	NA	NA	NA	NA	NA	0.0238095	0.0123457	0.0281481	0.0174292	0.015015	0.0123457	0.0316694	0.0238095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165126	3165126	1	NA	NA	NA	NA	NA	NA	NA	0.133042	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0310889	NA	NA	NA	NA	NA	NA	NA	NA	0.0234183	NA	NA	NA	NA	NA	NA	NA	0.0562653	NA	NA	NA	NA	NA	NA	0.0270382	NA	NA	NA	NA	NA	0.0136986	NA	NA	NA	NA	0.0252898	NA	NA	NA	0.0261517	NA	NA	NA	0.0136986	0.0285388	0.022908	NA	NA	NA
5	3165127	3165127	1	NA	NA	NA	NA	NA	NA	NA	0.133651	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0300852	NA	NA	NA	NA	NA	NA	NA	NA	0.0222521	NA	NA	NA	NA	NA	NA	NA	0.0555844	NA	NA	NA	NA	NA	NA	0.0264795	NA	NA	NA	NA	NA	0.012987	NA	NA	NA	NA	0.0275325	NA	NA	NA	0.0268353	NA	NA	NA	0.012987	0.0292208	0.021183	NA	NA	NA
5	3165128	3165128	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13087	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0258898	NA	NA	NA	NA	NA	NA	NA	NA	0.0219904	NA	NA	NA	NA	NA	NA	NA	0.0589875	NA	NA	NA	NA	NA	NA	0.0222685	NA	NA	NA	NA	NA	0.0169492	NA	NA	NA	NA	0.0221643	NA	NA	NA	0.0265749	NA	NA	0.0169492	NA	0.0169492	0.0254237
5	3165130	3165130	1	NA	NA	NA	NA	NA	0.137952	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0286736	NA	NA	NA	NA	NA	NA	NA	NA	0.0299589	NA	NA	NA	NA	NA	NA	NA	0.0666545	NA	NA	NA	NA	NA	NA	0.0290802	NA	NA	NA	NA	NA	0.0209595	NA	NA	NA	NA	NA	0.034506	0.0245564	0.019728	0.0228758	0.0249587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165131	3165131	1	NA	NA	NA	NA	NA	NA	NA	0.133355	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0297536	NA	NA	NA	NA	NA	NA	NA	NA	0.0219178	NA	NA	NA	NA	NA	NA	NA	0.0559158	NA	NA	NA	NA	NA	NA	0.0249873	NA	NA	NA	NA	NA	0.0133333	NA	NA	NA	NA	0.025641	NA	NA	NA	0.0265026	NA	NA	NA	0.0133333	0.0288889	0.0220127	NA	NA	NA
5	3165132	3165132	1	NA	0.140785	NA	NA	NA	NA	NA	NA	0.13982	NA	NA	0.0408815	NA	NA	NA	NA	NA	NA	0.0369914	NA	NA	0.0669856	0.0321396	0.030303	0.0393445	0.0348485	0.030303	0.0142213	0.0408815	0.0353694	NA	NA	NA	NA	NA	0.0590189	NA	NA	NA	NA	NA	NA	0.030175	NA	NA	NA	NA	NA	0.0145524	NA	NA	NA	NA	0.0281224	NA	NA	NA	0.0329281	NA	NA	0.020015	NA	NA	0.0296774	0.0293082	NA
5	3165134	3165134	1	NA	NA	NA	0.126225	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023199	NA	NA	NA	NA	NA	NA	NA	NA	0.0167636	NA	NA	NA	NA	NA	NA	NA	0.0539584	NA	NA	NA	NA	NA	NA	NA	0.015873	0.023199	0.0213725	0.015873	0.015873	0.0247619	0.0168971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165138	3165138	1	NA	0.12612	NA	NA	NA	NA	NA	NA	NA	0.140714	NA	0.028169	NA	NA	NA	NA	NA	NA	NA	0.0302344	NA	0.0513807	0.0186279	0.0140845	0.0221328	0.0203552	0.0140845	0.0140845	0.0143704	0.0186279	NA	NA	NA	NA	NA	NA	0.0696453	NA	NA	NA	NA	NA	NA	0.0321914	NA	NA	NA	NA	NA	0.0240966	NA	NA	NA	NA	0.0227493	NA	NA	NA	0.0375997	NA	NA	0.0276821	NA	0.0228691	NA	0.028083
5	3165139	3165139	1	NA	NA	NA	0.126688	NA	NA	NA	NA	NA	NA	0.145356	NA	NA	0.0259563	NA	NA	NA	NA	NA	NA	0.0448504	NA	0.0172836	NA	NA	NA	NA	NA	NA	0.0382906	0.0544587	NA	NA	NA	NA	NA	NA	0.0746711	0.0163934	0.0199063	0.0218901	0.0163934	0.0163934	0.0242623	0.00841999	NA	NA	NA	NA	NA	0.0333333	NA	NA	NA	NA	0.0367857	NA	NA	NA	0.0427986	NA	NA	0.0333333	NA	0.0333333	0.0410667
5	3165140	3165140	1	NA	NA	NA	NA	0.136585	NA	NA	0.132948	NA	NA	NA	NA	NA	NA	0.0353191	NA	NA	0.0312555	NA	NA	NA	NA	NA	0.0258911	NA	NA	0.0217878	NA	NA	NA	NA	0.0583812	NA	NA	0.0544149	NA	NA	NA	0.0275412	NA	NA	0.0234449	NA	NA	NA	0.0236343	0.0320867	0.0023231	0.011236	0.0292135	0.025382	NA	0.0231237	NA	NA	NA	0.0280096	NA	NA	NA	0.0117647	0.0287059	0.0212766	NA	NA	NA
5	3165141	3165141	1	NA	0.125317	NA	0.126756	NA	NA	NA	NA	NA	NA	NA	0.0221328	NA	0.0228571	NA	NA	NA	NA	NA	NA	NA	0.0513807	0.00807972	0.0140845	0.0208839	0.018706	0.0140845	0.0140845	0.0234742	0.0157415	0.051517	NA	NA	NA	NA	NA	NA	NA	0.0133333	0.0216092	0.0188471	0.0133333	0.0133333	0.0241975	0.0164706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
