Chr	Pos	S1S2	S1S3	S1S4	S1S5	S1S6	S1S7	S1S8	S1S9	S1S10	S1S11	S1S12	S2S3	S2S4	S2S5	S2S6	S2S7	S2S8	S2S9	S2S10	S2S11	S2S12	S3S4	S3S5	S3S6	S3S7	S3S8	S3S9	S3S10	S3S11	S3S12	S4S5	S4S6	S4S7	S4S8	S4S9	S4S10	S4S11	S4S12	S5S6	S5S7	S5S8	S5S9	S5S10	S5S11	S5S12	S6S7	S6S8	S6S9	S6S10	S6S11	S6S12	S7S8	S7S9	S7S10	S7S11	S7S12	S8S9	S8S10	S8S11	S8S12	S9S10	S9S11	S9S12	S10S11	S10S12	S11S12
5	3168214	-nan	-nan	-nan	-nan	-nan	0.240009	-nan	-nan	0.15102	-nan	-nan	-nan	-nan	-nan	-nan	0.238095	-nan	-nan	0.15102	-nan	-nan	-nan	-nan	-nan	0.230769	-nan	-nan	0.142857	-nan	-nan	-nan	-nan	0.230769	-nan	-nan	0.142857	-nan	-nan	-nan	0.230769	-nan	-nan	0.142857	-nan	-nan	0.230769	-nan	-nan	0.142857	-nan	-nan	0.230769	0.230769	0.0388158	0.234375	0.254079	-nan	0.142857	-nan	-nan	0.142857	-nan	-nan	0.142857	0.168831	-nan
5	3168814	0.0447761	0.0232233	0.149608	0.0896958	0.0330991	0.04393	0.206921	0.0557494	0.129823	0.126869	0.0392	0.0911909	0.264645	0.185431	0.107498	0.126437	0.328584	0.146876	0.234043	0.238095	0.120015	0.0837135	0.0318486	0.00328498	0.00927156	0.126914	0.0202475	0.0806063	0.0734344	0.0139557	0.0227988	0.0723275	0.047027	0.00997883	0.0423864	0.0254254	0.0104325	0.0594355	0.0221965	0.0144023	0.0414349	0.0153244	0.036947	0.024598	0.0273688	0.00802946	0.108093	0.0131177	0.071991	0.0639096	0.0141719	0.0830454	0.0135719	0.0497665	0.0397299	0.0140184	0.0707132	0.0406551	0.024998	0.0977151	0.0433631	0.0326798	0.0091008	0.0187771	0.0564393	0.0430094
5	3168995	0.043336	0.0251466	0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	0.115789	0.0853333	0.0833333	0.0277094	0.0562096	0.0263158	0.0263158	0.0318515	0.0506579	0.0720716	0.0749445	0.0338803	0.0351514	0.0966603	0.0740741	0.0740741	0.0792023	0.088955	0.109505	0.116379	0.0835185	0.0744559	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3169376	0.00522194	0.0953511	0.0899663	0.0228993	0.0121284	0.062574	0.0953511	0.0188751	0.0321654	0.0597134	0.0592977	0.0781005	0.072613	0.037557	0.0105555	0.0455628	0.0781005	0.0262378	0.0258796	0.0450544	0.0706226	-nan	0.146417	0.0833676	-nan	-nan	0.111181	0.0776353	-nan	0.125	0.14359	0.0803319	-nan	-nan	0.108237	0.0721451	-nan	0.126937	0.0284555	0.120389	0.143269	0.0138554	0.0734286	0.11992	0.0427087	0.0554169	0.0788303	0.0103506	0.0397239	0.0598447	0.0579835	-nan	0.0880433	0.0442163	-nan	0.129487	0.106672	0.0776353	-nan	0.125	0.0623949	0.0923181	0.0405694	0.0392035	0.108983	0.133568
5	3169669	0.0126128	0.00996602	0.0292368	0.160714	0.215006	0.031495	0.0149432	0.0162046	0.0307191	0.119252	0.0325153	0.0109254	0.0208793	0.133473	0.193226	0.0245163	0.0160986	0.0119909	0.0261192	0.091459	0.024307	0.0379002	0.174332	0.239271	0.0451177	0.0219475	0.0155296	0.0362714	0.135599	0.0402407	0.066186	0.109481	0.0024671	0.0104134	0.0131103	0.0257398	0.0443769	0.00156055	0.0144155	0.06122	0.101109	0.110337	0.109734	0.0140642	0.0617709	0.10108	0.147029	0.164542	0.160871	0.0373379	0.103483	0.0131879	0.0179539	0.0269841	0.0384351	0.00300974	0.00458276	0.0281566	0.0779128	0.0101061	0.025735	0.084853	0.0138898	0.0763296	0.0281631	0.0429502
5	3169685	0.0666667	0.0278752	0.0666667	0.0141418	0.0666667	0.00988199	0.0249901	0.0136368	0.0239077	0.068703	0.0747826	0.0277856	-nan	0.0762196	-nan	0.0540541	0.0364277	0.0710822	0.0847458	-nan	-nan	0.0415042	0.0249956	0.0308275	0.0145896	0.00468241	0.0223893	0.0461641	0.0374722	0.0509053	0.0865313	-nan	0.0665007	0.0465232	0.0786803	0.0915591	-nan	-nan	0.0729501	0.006643	0.0182498	0.00340084	0.0255053	0.0826886	0.0954907	0.0585801	0.0311301	0.0638063	0.0847458	-nan	-nan	0.0128311	0.00809448	0.0241116	0.0598275	0.0777027	0.0141741	0.0427746	0.0425123	0.0558751	0.0262816	0.0762732	0.0877168	0.0847458	0.10246	-nan
5	3169730	0.0416667	0.0188841	0.0433304	0.0157925	0.0155072	0.00745326	0.0129314	0.0261285	0.0430656	0.0437576	0.0471117	0.0265865	-nan	0.0555187	0.033698	0.0447761	0.0379572	0.0872173	0.0985915	-nan	-nan	0.0444871	0.0172818	0.00653103	0.016272	0.00955658	0.0431092	0.0634484	0.0380013	0.0461524	0.0719498	0.0494561	0.0576529	0.0497832	0.0977011	0.113417	-nan	-nan	0.00841917	0.00784252	0.0082834	0.010639	0.0342767	0.0656504	0.0735673	0.0113936	0.00227159	0.0287556	0.0543749	0.043004	0.0511128	0.00800607	0.015351	0.0339259	0.0492537	0.0613776	0.0225922	0.05072	0.0433333	0.0514393	0.0264995	0.0923181	0.0992737	0.100568	0.116922	-nan
5	3169752	0.0775867	0.0612245	0.00617444	0.0612245	0.0612245	0.00862025	0.0117925	0.0191528	0.0944634	0.0418779	0.00381324	0.194805	0.0561939	0.195619	0.194805	0.0952643	0.074403	0.123633	0.231372	0.0109655	0.0766974	0.0769231	-nan	-nan	0.0434783	0.0635742	0.035764	-nan	0.147059	0.0612245	0.0769231	0.0769231	0.0137223	0.00929311	0.0253284	0.114437	0.0292536	0.00423378	-nan	0.0434783	0.0601211	0.0322084	-nan	0.147059	0.0612245	0.0434783	0.0589389	0.030991	-nan	0.147059	0.0612245	0.00813817	0.00807283	0.0804138	0.0558592	0.0104849	0.0104996	0.10472	0.041585	0.00810369	0.0773784	0.0806585	0.0165908	0.177939	0.101369	0.0444441
5	3169763	0.188266	0.12283	0.00464211	0.0408065	0.0148021	0.088792	0.030809	0.0628277	0.151158	0.0144191	0.00951834	0.0149505	0.156599	0.327608	0.211582	0.0244145	0.096481	0.0531682	0.486595	0.125405	0.143688	0.0953847	0.237962	0.13614	0.00958058	0.0474861	0.020758	0.396459	0.0720988	0.0839961	0.0545818	0.0166498	0.0671539	0.0180402	0.0430414	0.177691	0.0116022	0.00300341	0.0222595	0.200453	0.0950816	0.15218	0.0937336	0.0708381	0.0638995	0.108596	0.0313733	0.0698667	0.149315	0.0222125	0.0205759	0.0293052	0.010682	0.348132	0.0460725	0.0596325	0.00929693	0.238918	0.0114487	0.0146677	0.302908	0.0300821	0.0359258	0.196483	0.191667	0.0127829
5	3169776	0.20669	0.242765	0.0377018	0.0289204	0.0198461	0.0607238	0.0649083	0.119531	0.0400706	0.0172895	0.0175028	0.00574503	0.0837006	0.327793	0.284469	0.0531564	0.0590139	0.0254007	0.328665	0.129135	0.159515	0.107344	0.367411	0.322226	0.0755323	0.0772635	0.0360406	0.369051	0.160081	0.187825	0.108235	0.0836708	0.0103168	0.011798	0.0318552	0.12066	0.0178442	0.0211	0.0046069	0.13829	0.135364	0.21425	0.0239257	0.0647628	0.056859	0.109081	0.105374	0.177996	0.0290006	0.0438531	0.0417007	0.0060312	0.0183909	0.14842	0.0214398	0.0425069	0.0127788	0.152562	0.0271774	0.0417404	0.22548	0.0662207	0.0831292	0.0744942	0.0744249	0.0202929
5	3170090	-nan	-nan	0.173941	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.16448	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.162791	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.162791	0.162791	0.178763	0.215116	0.194991	0.196815	0.169149	0.190199	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3170134	0.111111	0.0448099	0.0686651	0.0904995	0.211176	0.0327742	0.0205154	0.111111	0.0517296	0.0355737	0.0297517	0.0793111	0.223792	0.263305	0.445778	0.111045	0.09219	-nan	0.127085	0.12044	0.157423	0.0910273	0.119308	0.267505	0.0178325	0.0278999	0.113562	0.036712	0.0196192	0.0506491	0.00538496	0.0677313	0.0410615	0.0798558	0.253086	0.0541648	0.0423727	0.0238074	0.0446482	0.0638417	0.10068	0.286621	0.0744803	0.0642372	0.0368317	0.185888	0.239583	0.463754	0.183009	0.180457	0.135864	0.029091	0.148085	0.0203652	0.0050942	0.0235368	0.0896991	0.0508323	0.0352219	0.027774	0.163457	0.157088	0.168956	0.01769	0.0414428	0.026984
5	3170182	-nan	-nan	0.146805	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0875593	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0857143	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0857143	0.0857143	0.088385	0.09169	0.115344	0.12287	0.0926582	0.0952381	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3170443	0.282458	-nan	-nan	0.158593	-nan	0.0856352	0.154037	0.193705	-nan	0.161491	0.0978423	0.341714	0.2832	0.0540854	0.28	0.106206	0.07934	0.031199	0.307864	0.0510436	0.101341	-nan	0.224481	-nan	0.14881	0.164588	0.245232	-nan	0.233363	0.149941	0.157763	-nan	0.0833333	0.149422	0.189307	-nan	0.165217	0.0929214	0.139687	0.0341027	0.0408389	0.0217147	0.175501	0.010151	0.031182	0.0833333	0.142962	0.183149	-nan	0.152664	0.0909091	0.0415218	0.0405615	0.11801	0.0376388	0.00631043	0.0324796	0.183989	0.0510763	0.0327674	0.222253	0.0301229	0.0356349	0.171398	0.129785	0.0393631
5	3170766	0.0196078	0.0247653	0.036085	0.0388312	0.0203768	0.0253749	0.0479852	0.0274011	0.0543203	0.0217469	0.0281516	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3170855	0.108434	0.00760533	0.0534298	0.0135189	0.108434	0.0340871	0.0509572	0.113253	0.140001	0.114541	0.0305232	0.0847243	0.0269675	0.0759109	-nan	0.038961	0.0396721	-nan	-nan	-nan	0.0516448	0.0322752	0.00266627	0.0804598	0.0196862	0.0289679	0.0858625	0.120145	0.0945253	0.0137594	0.0258798	0.025	0.00437644	0.00700591	0.0276351	0.0646236	0.0343148	0.010402	0.0681818	0.0155385	0.0199366	0.0736567	0.111673	0.0858062	0.0110593	0.038961	0.0304219	-nan	-nan	-nan	0.047619	0.00824289	0.040959	0.0753161	0.0447568	0.00609742	0.030303	0.0768365	0.0450386	0.00626228	-nan	-nan	0.047619	-nan	0.0883459	0.0569444
5	3170878	-nan	0.0472566	-nan	-nan	-nan	-nan	0.0600407	-nan	0.105362	-nan	0.0683841	0.0397681	-nan	-nan	-nan	-nan	0.0568208	-nan	0.0992764	-nan	0.0651927	0.0452852	0.0352941	0.0363625	0.0441599	0.00797566	0.0418927	0.0432614	0.0486404	0.0129723	-nan	-nan	-nan	0.0549136	-nan	0.108375	-nan	0.0633025	-nan	-nan	0.0489321	-nan	0.1005	-nan	0.0612245	-nan	0.0477358	-nan	0.102404	-nan	0.0612245	0.0576744	-nan	0.104708	-nan	0.0660387	0.047619	0.0405027	0.0620915	0.00779461	0.107555	-nan	0.0612245	0.104708	0.036674	0.0704167
5	3171095	0.0199934	0.0238095	0.116269	0.0291221	0.0238095	0.097628	0.0556136	0.0235351	0.0643078	0.0152302	0.0405442	0.0610515	0.0652566	0.0680499	0.057771	0.0525286	0.0293698	0.0161245	0.104891	0.00737267	0.079014	0.175	-nan	-nan	0.157895	0.0998049	0.0588318	-nan	0.0574713	-nan	0.181149	0.175	0.00303125	0.0375252	0.0720908	0.215106	0.0604485	0.190783	-nan	0.162931	0.0964855	0.0553613	-nan	0.064054	-nan	0.157895	0.095349	0.0541731	-nan	0.0574713	-nan	0.0305872	0.0598625	0.195293	0.0469118	0.172778	0.0161173	0.138655	0.0266313	0.100176	0.0994507	0.0143755	0.0657081	0.0960014	-nan	0.0750651
5	3171238	0.0115926	0.05	0.0567984	0.05	0.064389	0.0579167	0.00652136	0.0579167	0.0836364	0.00884143	0.05	0.0539895	0.0670764	0.0434783	0.0616138	0.0716484	0.0151411	0.0708075	0.0920548	0.0212768	0.0555031	0.142857	-nan	0.157778	-nan	0.0547952	-nan	-nan	0.0810811	-nan	0.142857	0.0303556	0.145361	0.0554613	0.142857	0.177691	0.0340554	0.142857	0.149218	-nan	0.0513097	-nan	-nan	0.0810811	-nan	0.177332	0.0560551	0.168656	0.195416	0.0375077	0.159472	0.0678632	-nan	-nan	0.0864549	-nan	0.0579167	0.0955882	0.0140402	0.055185	-nan	0.0864549	-nan	0.111679	-nan	0.0810811
5	3171245	-nan	-nan	0.0883062	-nan	0.0845172	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0851831	-nan	0.0436942	-nan	-nan	-nan	-nan	-nan	-nan	0.0833333	-nan	0.0443354	-nan	-nan	-nan	-nan	-nan	-nan	0.0833333	0.035952	0.086011	0.0833333	0.0833333	0.120586	0.0902954	0.0833333	0.0356957	-nan	-nan	-nan	-nan	-nan	-nan	0.0697538	0.0446156	0.0636147	0.0886279	0.068023	0.0462579	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3171509	0.176471	0.176471	0.176471	0.176471	0.176471	0.176471	0.186638	0.176471	0.205629	0.178267	0.176471	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3171518	0.23094	0.0919443	0.117504	0.030005	0.0349843	0.101382	0.210552	0.202971	0.1215	0.282766	0.118557	0.0526366	0.0328674	0.237893	0.194025	0.0425343	0.0381274	0.013043	0.051953	0.00939329	0.0373536	0.00814011	0.0864349	0.060374	0.0146217	0.0741315	0.037765	0.0231497	0.0870145	0.0177782	0.123682	0.0927326	0.00820012	0.05236	0.0204504	0.0240181	0.0605559	0.0101342	0.00666468	0.120483	0.247291	0.210334	0.123965	0.296072	0.138603	0.0915163	0.206132	0.168144	0.0962274	0.245192	0.107051	0.0512337	0.0314008	0.0288713	0.0703447	0.00564272	0.029313	0.0794698	0.0470272	0.0383458	0.0450073	0.0266886	0.0241441	0.0751804	0.0345537	0.0626546
5	3171525	0.0448502	0.130435	0.130435	0.0670003	0.0531107	0.130435	0.14361	0.130435	0.161223	0.132332	0.130435	0.0615801	0.0674088	0.00813338	0.00640437	0.0828113	0.109799	0.0723172	0.0978966	0.0598289	0.0907236	-nan	0.0463229	0.0640372	-nan	-nan	-nan	-nan	-nan	-nan	0.0547342	0.0722923	-nan	-nan	-nan	-nan	-nan	-nan	0.00444575	0.0722221	0.0919901	0.0537581	0.0874816	0.0478421	0.0763212	0.0894553	0.107735	0.0701662	0.104431	0.0644888	0.0934784	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3171655	0.0909091	0.0909091	0.0253777	0.0486594	0.0985726	0.00125558	0.0909091	0.0909091	0.123097	0.0250779	0.0148614	-nan	0.0851831	0.173579	0.243649	0.0909091	-nan	-nan	-nan	0.0638298	0.14648	0.0833333	0.169728	0.240125	0.0909091	-nan	-nan	-nan	0.0638298	0.142857	0.0327097	0.0766303	0.0242232	0.126111	0.0996296	0.146382	0.00748115	0.0344796	0.0211071	0.0472632	0.197917	0.173611	0.22145	0.053778	0.0231839	0.0971811	0.278788	0.256933	0.300828	0.107695	0.0533482	0.0909091	0.0909091	0.125299	0.0264951	0.0134413	-nan	-nan	0.106087	0.142857	-nan	0.0789992	0.142857	0.120141	0.179511	0.0499174
5	3171765	-nan	-nan	-nan	-nan	-nan	-nan	0.177536	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.174718	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.170873	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.173049	-nan	-nan	-nan	-nan	-nan	-nan	0.167816	-nan	-nan	-nan	-nan	-nan	0.166769	-nan	-nan	-nan	-nan	0.175465	-nan	-nan	-nan	-nan	0.166667	0.206656	0.17933	0.171215	-nan	-nan	-nan	-nan	-nan	-nan
5	3171767	0.118544	-nan	0.156032	-nan	-nan	-nan	0.177536	-nan	-nan	-nan	0.223743	0.0663869	0.0257239	0.140093	0.0599777	0.0936666	0.101549	0.0827661	0.149753	0.0692774	0.0898702	0.104286	-nan	-nan	-nan	0.170873	-nan	-nan	-nan	0.185185	0.175	0.1	0.132213	0.0618022	0.12	0.185914	0.108861	0.0313613	-nan	-nan	0.167816	-nan	-nan	-nan	0.239506	-nan	0.166769	-nan	-nan	-nan	0.185185	0.175465	-nan	-nan	-nan	0.201835	0.166667	0.206656	0.17933	0.0474327	-nan	-nan	0.188807	-nan	0.251228	0.193164
5	3172090	-nan	-nan	-nan	0.110512	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.107465	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.154546	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.125535	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.1	0.108273	0.151429	0.151429	0.142006	0.112453	0.103676	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3172098	-nan	-nan	-nan	0.110512	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.107465	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.123233	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.114604	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.1	0.108273	0.151429	0.13375	0.142006	0.112453	0.103676	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3172236	0.0277146	0.0481111	0.0503149	0.062741	0.0457699	0.0244885	0.00924979	0.0320136	0.0252366	0.00222598	0.0475629	0.00626822	0.132454	0.154377	0.120024	0.0937591	0.0496309	0.00816655	0.0711991	0.0350437	0.0175639	0.169587	0.192525	0.156069	0.128473	0.0711468	0.00736695	0.0980998	0.0575786	0.0145147	0.00916711	0.0154479	0.010094	0.0336844	0.136664	0.0430488	0.0439552	0.145831	0.00995162	0.0128126	0.0369699	0.15364	0.0496707	0.0549832	0.175351	0.0122321	0.0234072	0.122085	0.0378569	0.0387382	0.146385	0.0157986	0.0993388	0.0259486	0.0202936	0.117211	0.0451801	0.0262364	0.00921083	0.0674942	0.0788793	0.0408191	0.0161266	0.0207187	0.0963003	0.0570077
