Chr	Pos	R1	R2	R3
5	3178789	-nan	0.0505393	-nan
5	3178825	0.18513	-nan	0.29485
5	3178835	0.133987	0.0774355	0.134667
5	3178838	0.145521	0.0735016	0.137698
5	3178847	-nan	0.10118	0.140988
5	3178855	0.187721	0.129137	0.161429
5	3178873	-nan	-nan	-nan
5	3178884	-nan	-nan	-nan
5	3178898	-nan	-nan	-nan
5	3178909	-nan	-nan	-nan
5	3178981	-nan	-nan	0.207654
5	3179070	-nan	-nan	-nan
5	3179081	-nan	-nan	0.145425
5	3179086	-nan	-nan	-nan
5	3179105	0.165144	0.10001	0.368227
5	3179123	-nan	-nan	-nan
5	3179170	-nan	-nan	-nan
5	3179171	-nan	-nan	-nan
5	3179380	-nan	-nan	-nan
5	3179429	0.745455	-nan	-nan
5	3179430	-nan	-nan	-nan
5	3179545	-nan	-nan	-nan
5	3179569	0.745455	-nan	-nan
5	3179631	0.0681502	-nan	0.163303
5	3179634	-nan	0.232841	-nan
5	3179648	-nan	0.0831979	-nan
5	3179654	-nan	-nan	0.0644565
5	3179881	-nan	0.0946114	0.0657715
5	3179882	-nan	-nan	0.0657715
5	3179886	0.0286661	0.0723662	0.0455388
5	3179995	-nan	-nan	-nan
5	3180014	-nan	-nan	-nan
5	3180037	-nan	-nan	-nan
5	3180047	-nan	-nan	-nan
5	3180074	-nan	0.18585	0.0824656
5	3180075	0.313822	0.3897	0.0591169
5	3180209	-nan	-nan	-nan
5	3180218	-nan	-nan	-nan
5	3180228	-nan	-nan	-nan
5	3180341	0.123379	-nan	-nan
5	3180376	-nan	-nan	0.184834
5	3180385	0.200489	0.0736972	0.382069
5	3180412	-nan	-nan	-nan
5	3180507	0.133936	0.0201967	0.0681164
5	3180712	0.282233	-nan	-nan
5	3180721	0.610971	0.200798	0.177604
5	3180733	-nan	-nan	-nan
5	3180734	0.252145	0.139482	-nan
5	3180735	-nan	-nan	-nan
5	3180754	-nan	0.0691557	-nan
5	3180790	-nan	-nan	-nan
5	3180795	-nan	-nan	-nan
5	3181007	0.030215	-nan	-nan
5	3181090	-nan	-nan	-nan
5	3181106	0.0103052	-nan	0.0209515
5	3181122	0.00506821	-nan	0.0116277
5	3181154	0.0410433	0.0755009	0.0715333
5	3181203	0.014265	0.0850887	0.0234638
5	3181236	0.00499087	0.125968	-nan
5	3181243	-nan	0.0783401	0.044316
5	3181247	-nan	-nan	-nan
5	3181272	-nan	0.101419	0.0268964
5	3181276	0.0556957	0.132389	0.0980994
5	3181293	-nan	-nan	-nan
5	3181306	-nan	-nan	0.0419382
5	3181343	-nan	-nan	-nan
5	3181345	-nan	-nan	0.0772871
5	3181346	0.0800308	0.0935335	0.0992268
5	3181352	-nan	-nan	-nan
5	3181362	-nan	0.022395	0.163676
5	3181407	0.0853324	0.11532	0.155049
5	3181435	-nan	0.192464	0.427587
5	3181444	0.155245	-nan	-nan
5	3181467	-nan	-nan	-nan
5	3181653	-nan	-nan	0.0908894
5	3181667	-nan	-nan	-nan
5	3181668	-nan	-nan	-nan
5	3181670	-nan	0.261042	-nan
5	3181706	0.745455	-nan	0.0986946
5	3181774	-nan	-nan	-nan
5	3181781	-nan	-nan	-nan
5	3181788	-nan	-nan	-nan
5	3181798	-nan	-nan	-nan
5	3181801	-nan	-nan	-nan
5	3181817	-nan	-nan	-nan
5	3181828	-nan	0.182934	-nan
5	3181840	-nan	-nan	-nan
5	3181887	-nan	-nan	-nan
5	3181908	-nan	-nan	-nan
5	3181917	-nan	-nan	-nan
5	3181923	-nan	-nan	-nan
5	3181947	-nan	-nan	0.0978867
5	3182000	-nan	-nan	-nan
5	3182018	-nan	-nan	-nan
5	3182077	-nan	-nan	-nan
5	3182086	0.0280664	0.0528201	0.0787915
5	3182161	0.0568834	-nan	-nan
5	3182237	0.0214953	0.0618049	0.0347393
5	3182300	-nan	-nan	-nan
5	3182319	0.0503558	0.102676	-nan
5	3182320	0.0512374	0.106627	-nan
5	3182324	0.0322649	0.0557647	0.0512971
5	3182348	0.0409631	0.0324098	0.0703451
5	3182352	0.0398271	0.0346013	0.0735493
5	3182355	0.0469371	0.0337113	0.0581163
5	3182374	-nan	-nan	-nan
5	3182381	0.0461184	0.027035	0.0499965
5	3182486	0.0403986	-nan	-nan
5	3182655	-nan	-nan	-nan
5	3182673	-nan	-nan	-nan
5	3182834	-nan	-nan	-nan
5	3182994	0.0304683	0.0769076	0.0836623
5	3183024	0.0400616	0.0438239	0.0722206
5	3183077	-nan	-nan	-nan
5	3183110	-nan	-nan	0.0815267
5	3183116	-nan	-nan	-nan
5	3183235	-nan	-nan	-nan
5	3183256	0.0305159	0.0649856	0.0588625
5	3183305	0.0498111	-nan	-nan
5	3183312	0.0367599	-nan	-nan
5	3183370	0.0590105	0.115798	0.0605407
5	3183429	0.0102785	0.0226788	0.00764692
5	3183705	0.0171017	0.105316	0.0437204
5	3183721	0.0157566	0.122602	0.0448987
5	3183731	0.0938632	0.0423179	-nan
5	3183777	-nan	-nan	-nan
5	3183802	-nan	-nan	-nan
5	3183930	0.027909	-nan	0.0287129
5	3183951	-nan	0.0827255	0.0803327
5	3184215	0.062599	0.0273022	0.0363464
5	3184432	0.0198438	0.0834274	0.059683
5	3184433	0.036507	0.0504902	0.0235844
5	3184569	0.101402	-nan	-nan
5	3184861	-nan	-nan	-nan
5	3184967	-nan	0.308982	-nan
5	3185062	-nan	-nan	-nan
5	3185232	0.00739071	0.0192825	0.0178516
5	3185322	0.015593	0.0741724	0.0644862
5	3185327	0.0442533	0.0133174	0.00930354
5	3185379	-nan	-nan	0.0956291
