Chr	Pos	R1R2	R1R3	R2R3
5	3180341	-nan	-nan	-nan
5	3180376	-nan	-nan	-nan
5	3180385	0.126792	-0.18158	-0.308372
5	3180412	-nan	-nan	-nan
5	3180507	0.113739	0.0658193	-0.0479197
5	3180712	-nan	-nan	-nan
5	3180721	0.410173	0.433367	0.023194
5	3180733	-nan	-nan	-nan
5	3180734	0.112663	-nan	-nan
5	3180735	-nan	-nan	-nan
5	3180754	-nan	-nan	-nan
5	3180790	-nan	-nan	-nan
5	3180795	-nan	-nan	-nan
5	3181007	-nan	-nan	-nan
5	3181090	-nan	-nan	-nan
5	3181106	-nan	-0.0106463	-nan
5	3181122	-nan	-0.0065595	-nan
5	3181154	-0.0344576	-0.03049	0.0039676
5	3181203	-0.0708237	-0.0091988	0.0616249
5	3181236	-0.120977	-nan	-nan
5	3181243	-nan	-nan	0.0340241
5	3181247	-nan	-nan	-nan
5	3181272	-nan	-nan	0.0745221
5	3181276	-0.0766932	-0.0424037	0.0342895
5	3181293	-nan	-nan	-nan
5	3181306	-nan	-nan	-nan
5	3181343	-nan	-nan	-nan
5	3181345	-nan	-nan	-nan
5	3181346	-0.0135027	-0.0191961	-0.00569338
5	3181352	-nan	-nan	-nan
5	3181362	-nan	-nan	-0.141281
5	3181407	-0.0299879	-0.0697168	-0.0397289
5	3181435	-nan	-nan	-0.235123
5	3181444	-nan	-nan	-nan
5	3181467	-nan	-nan	-nan
5	3181653	-nan	-nan	-nan
5	3181667	-nan	-nan	-nan
5	3181668	-nan	-nan	-nan
5	3181670	-nan	-nan	-nan
5	3181706	-nan	0.64676	-nan
5	3181774	-nan	-nan	-nan
5	3181781	-nan	-nan	-nan
5	3181788	-nan	-nan	-nan
5	3181798	-nan	-nan	-nan
5	3181801	-nan	-nan	-nan
5	3181817	-nan	-nan	-nan
5	3181828	-nan	-nan	-nan
5	3181840	-nan	-nan	-nan
5	3181887	-nan	-nan	-nan
5	3181908	-nan	-nan	-nan
5	3181917	-nan	-nan	-nan
5	3181923	-nan	-nan	-nan
5	3181947	-nan	-nan	-nan
5	3182000	-nan	-nan	-nan
5	3182018	-nan	-nan	-nan
5	3182077	-nan	-nan	-nan
5	3182086	-0.0247537	-0.0507251	-0.0259714
5	3182161	-nan	-nan	-nan
5	3182237	-0.0403096	-0.0132441	0.0270655
5	3182300	-nan	-nan	-nan
5	3182319	-0.05232	-nan	-nan
5	3182320	-0.0553897	-nan	-nan
5	3182324	-0.0234999	-0.0190322	0.00446764
5	3182348	0.00855336	-0.029382	-0.0379354
5	3182352	0.00522581	-0.0337222	-0.038948
5	3182355	0.0132258	-0.0111791	-0.0244049
5	3182374	-nan	-nan	-nan
5	3182381	0.0190834	-0.00387815	-0.0229616
5	3182486	-nan	-nan	-nan
5	3182655	-nan	-nan	-nan
5	3182673	-nan	-nan	-nan
5	3182834	-nan	-nan	-nan
5	3182994	-0.0464393	-0.0531941	-0.00675478
5	3183024	-0.00376223	-0.0321589	-0.0283967
5	3183077	-nan	-nan	-nan
5	3183110	-nan	-nan	-nan
5	3183116	-nan	-nan	-nan
5	3183235	-nan	-nan	-nan
5	3183256	-0.0344697	-0.0283466	0.00612318
5	3183305	-nan	-nan	-nan
5	3183312	-nan	-nan	-nan
5	3183370	-0.0567872	-0.00153021	0.055257
5	3183429	-0.0124003	0.00263156	0.0150319
5	3183705	-0.0882145	-0.0266186	0.0615959
5	3183721	-0.106845	-0.0291421	0.0777032
5	3183731	0.0515454	-nan	-nan
5	3183777	-nan	-nan	-nan
5	3183802	-nan	-nan	-nan
5	3183930	-nan	-0.000803834	-nan
5	3183951	-nan	-nan	0.00239288
5	3184215	0.0352968	0.0262526	-0.00904414
5	3184432	-0.0635835	-0.0398392	0.0237444
5	3184433	-0.0139831	0.0129226	0.0269057
5	3184569	-nan	-nan	-nan
5	3184861	-nan	-nan	-nan
5	3184967	-nan	-nan	-nan
5	3185062	-nan	-nan	-nan
5	3185232	-0.0118918	-0.0104609	0.00143091
5	3185322	-0.0585794	-0.0488931	0.00968629
5	3185327	0.0309358	0.0349497	0.0040139
5	3185379	-nan	-nan	-nan
