Chr	Pos	T1	T2	T3
5	3178981	-nan	-nan	-nan
5	3179070	-nan	-nan	-nan
5	3179081	-nan	0.14505	-nan
5	3179086	-nan	-nan	-nan
5	3179105	0.301428	0.35205	0.0505871
5	3179123	-nan	-nan	-nan
5	3179170	-nan	-nan	-nan
5	3179171	-nan	-nan	-nan
5	3179380	-nan	-nan	-nan
5	3179429	-nan	-nan	-nan
5	3179430	-nan	-nan	-nan
5	3179545	0.606181	-nan	-nan
5	3179569	-nan	-nan	-nan
5	3179631	0.386748	-nan	-nan
5	3179634	-nan	-nan	-nan
5	3179648	-nan	-nan	-nan
5	3179654	-nan	-nan	-nan
5	3179881	0.134948	-nan	-nan
5	3179882	0.177474	-nan	-nan
5	3179886	0.0371966	0.0863805	0.0462519
5	3179995	-nan	-nan	-nan
5	3180014	-nan	-nan	-nan
5	3180037	-nan	-nan	-nan
5	3180047	-nan	-nan	-nan
5	3180074	-nan	0.156052	0.147497
5	3180075	0.295146	0.279879	0.0626945
5	3180209	-nan	-nan	-nan
5	3180218	-nan	-nan	-nan
5	3180228	-nan	-nan	-nan
5	3180341	-nan	-nan	-nan
5	3180376	-nan	-nan	-nan
5	3180385	0.238194	0.40231	0.0748185
5	3180412	-nan	-nan	-nan
5	3180507	0.087288	0.0631088	0.0746239
5	3180712	-nan	-nan	-nan
5	3180721	0.414564	0.239773	0.221307
5	3180733	-nan	-nan	-nan
5	3180734	0.254414	-nan	-nan
5	3180735	-nan	-nan	-nan
5	3180754	-nan	-nan	-nan
5	3180790	-nan	-nan	-nan
5	3180795	-nan	-nan	-nan
5	3181007	-nan	-nan	-nan
5	3181090	-nan	-nan	-nan
5	3181106	-nan	0.0408625	0.0479346
5	3181122	-nan	0.054141	0.0198419
5	3181154	0.166246	0.0325697	0.0218881
5	3181203	0.024011	0.0746045	0.0470728
5	3181236	0.117808	-nan	0.0812667
5	3181243	-nan	0.0705274	-nan
5	3181247	-nan	-nan	-nan
5	3181272	-nan	0.0438326	-nan
5	3181276	0.17887	0.104946	0.0379991
5	3181293	-nan	-nan	-nan
5	3181306	-nan	-nan	-nan
5	3181343	-nan	-nan	-nan
5	3181345	0.190244	-nan	-nan
5	3181346	0.105366	0.142134	0.0297077
5	3181352	-nan	-nan	-nan
5	3181362	-nan	0.16708	-nan
5	3181407	0.298276	0.0455974	0.151461
5	3181435	-nan	0.227776	-nan
5	3181444	-nan	-nan	-nan
5	3181467	-nan	-nan	-nan
5	3181653	-nan	-nan	-nan
5	3181667	-nan	-nan	-nan
5	3181668	-nan	-nan	-nan
5	3181670	-nan	-nan	0.147862
5	3181706	-nan	-nan	0.209615
5	3181774	-nan	-nan	-nan
5	3181781	-nan	-nan	-nan
5	3181788	-nan	-nan	-nan
5	3181798	-nan	-nan	-nan
5	3181801	-nan	-nan	-nan
5	3181817	-nan	-nan	-nan
5	3181828	-nan	-nan	-nan
5	3181840	-nan	-nan	-nan
5	3181887	-nan	-nan	-nan
5	3181908	0.211763	-nan	-nan
5	3181917	-nan	-nan	-nan
5	3181923	0.218219	-nan	-nan
5	3181947	0.189392	0.0922293	-nan
5	3182000	-nan	-nan	-nan
5	3182018	0.145998	-nan	-nan
5	3182077	0.179312	-nan	-nan
5	3182086	0.043938	0.115553	0.010153
5	3182161	-nan	-nan	-nan
5	3182237	0.0260748	0.0692564	0.0486723
5	3182300	-nan	-nan	-nan
5	3182319	-nan	-nan	-nan
5	3182320	-nan	-nan	-nan
5	3182324	0.104375	0.0248148	0.0585435
5	3182348	0.0957985	0.0325861	0.0778475
5	3182352	0.102847	0.0314203	0.081421
5	3182355	0.0904783	0.0255061	0.0766762
5	3182374	-nan	-nan	-nan
5	3182381	0.0716711	0.019663	0.091952
5	3182486	-nan	-nan	-nan
5	3182655	-nan	-nan	-nan
5	3182673	0.154586	-nan	-nan
5	3182834	-nan	-nan	-nan
5	3182994	0.06038	0.0729636	0.205562
5	3183024	0.0367624	0.0570569	0.190818
5	3183077	0.126703	-nan	-nan
5	3183110	-nan	-nan	-nan
5	3183116	-nan	-nan	-nan
5	3183235	-nan	-nan	-nan
5	3183256	0.106358	0.0488789	0.0274356
5	3183305	0.22773	-nan	0.0881966
5	3183312	0.179833	-nan	0.086408
5	3183370	0.194946	0.019455	0.0858772
5	3183429	0.0117558	0.0194299	0.0143064
5	3183705	0.122787	0.0394387	0.0525838
5	3183721	0.138161	0.0433761	0.05195
5	3183731	0.0928339	0.0497152	-nan
5	3183777	-nan	-nan	-nan
5	3183802	-nan	-nan	-nan
5	3183930	-nan	-nan	-nan
5	3183951	0.189436	0.0421635	-nan
5	3184215	0.067018	0.0151958	0.0850709
5	3184432	0.135846	0.0303731	0.0554271
5	3184433	0.0492052	0.0154195	0.111197
5	3184569	-nan	-nan	-nan
5	3184861	-nan	-nan	-nan
5	3184967	-nan	-nan	-nan
5	3185062	-nan	-nan	-nan
5	3185232	0.0265603	0.0169275	0.0125316
5	3185322	0.0554866	0.0909175	0.0494574
5	3185327	0.0254601	0.014329	0.0200322
5	3185379	-nan	-nan	-nan
